,gamma,network_size,norm_sum_power
0,0.09,150,0.34835466524238107
0,0.09,150,0.355098911947565
0,0.09,150,0.3570646652977467
0,0.09,150,0.3595170272722597
0,0.09,150,0.3461012590818283
0,0.09,170,0.36293342287764513
0,0.09,170,0.3431014831469376
0,0.09,170,0.3710899210326114
0,0.09,170,0.32710387173534045
0,0.09,170,0.3514808091998482
0,0.09,190,0.32966087699785024
0,0.09,190,0.3465952582616474
0,0.09,190,0.34475521825651684
0,0.09,190,0.3580218185760445
0,0.09,190,0.32897884903899993
0,0.09,210,0.3590035959735502
0,0.09,210,0.3559099032758379
0,0.09,210,0.3482077128328861
0,0.09,210,0.35371778668245324
0,0.09,210,0.34882527450867556
0,0.09,230,0.3692535635130518
0,0.09,230,0.3448538729055191
0,0.09,230,0.3624153118182986
0,0.09,230,0.37097177070804305
0,0.09,230,0.3514710968504412
0,0.09,250,0.36577351977201933
0,0.09,250,0.3464956282612067
0,0.09,250,0.3718233541310101
0,0.09,250,0.3888206543036324
0,0.09,250,0.32595213082385194
0,0.09,270,0.3481298513449858
0,0.09,270,0.3533162022909568
0,0.09,270,0.36990388463589396
0,0.09,270,0.344771390046183
0,0.09,270,0.3694277999705834
0,0.09,290,0.3412074562073455
0,0.09,290,0.3501446596857027
0,0.09,290,0.3641929709158134
0,0.09,290,0.3236739208561735
0,0.09,290,0.36706075413369593
0,0.09,310,0.3459428919984717
0,0.09,310,0.34429622684820455
0,0.09,310,0.3696622688693527
0,0.09,310,0.3506495326412922
0,0.09,310,0.37530182623505753
0,0.09,330,0.3739421254416241
0,0.09,330,0.35548533436221447
0,0.09,330,0.3394184277458985
0,0.09,330,0.3410141099723583
0,0.09,330,0.34257478688971904
0,0.091,150,0.3761413546775788
0,0.091,150,0.38346971255866064
0,0.091,150,0.38444486399560546
0,0.091,150,0.3872108171855657
0,0.091,150,0.372407470535745
0,0.091,170,0.3902117977829488
0,0.091,170,0.3719516803394973
0,0.091,170,0.40087043339861056
0,0.091,170,0.35320310922324366
0,0.091,170,0.38087327962213724
0,0.091,190,0.35702515907937116
0,0.091,190,0.3746321781880829
0,0.091,190,0.3724381153737792
0,0.091,190,0.3872880433127979
0,0.091,190,0.35566373621339736
0,0.091,210,0.38768195863307514
0,0.091,210,0.38475879788539474
0,0.091,210,0.37671043227623935
0,0.091,210,0.3831822790399645
0,0.091,210,0.37678393372245905
0,0.091,230,0.3987741299228449
0,0.091,230,0.3724366840708935
0,0.091,230,0.39096334764801294
0,0.091,230,0.39996316605292986
0,0.091,230,0.37995032655383415
0,0.091,250,0.3947137197502967
0,0.091,250,0.3745536879812905
0,0.091,250,0.40053525466400325
0,0.091,250,0.41830565044314627
0,0.091,250,0.35288058549336737
0,0.091,270,0.37715209008989986
0,0.091,270,0.3821658734112993
0,0.091,270,0.3988596717914746
0,0.091,270,0.37330239561904777
0,0.091,270,0.3987076888748642
0,0.091,290,0.36913781867813045
0,0.091,290,0.3784499113639369
0,0.091,290,0.3938524229847205
0,0.091,290,0.35069883688747444
0,0.091,290,0.3964667888053036
0,0.091,310,0.37440643455494393
0,0.091,310,0.3722777829404997
0,0.091,310,0.4000593307087184
0,0.091,310,0.3793819099396128
0,0.091,310,0.4049575364318101
0,0.091,330,0.4041499022041004
0,0.091,330,0.38507661223320344
0,0.091,330,0.3681070330157967
0,0.091,330,0.3688488484719915
0,0.091,330,0.3715990408432694
0,0.092,150,0.40870349449484156
0,0.092,150,0.4240493691200037
0,0.092,150,0.42969387756082095
0,0.092,150,0.4106722849091003
0,0.092,150,0.4149719960032712
0,0.092,170,0.4336742359109857
0,0.092,170,0.4082595995019333
0,0.092,170,0.41498139415998475
0,0.092,170,0.4145061584207285
0,0.092,170,0.39895500332375294
0,0.092,190,0.41344591073449877
0,0.092,190,0.4155379622879351
0,0.092,190,0.41786160222221236
0,0.092,190,0.4203977592892171
0,0.092,190,0.4267797302610809
0,0.092,210,0.41389723018473223
0,0.092,210,0.41236369887709334
0,0.092,210,0.4373932142833775
0,0.092,210,0.40041052409528877
0,0.092,210,0.4208987631123011
0,0.092,230,0.4402983275196496
0,0.092,230,0.42149369872418224
0,0.092,230,0.42495930057681236
0,0.092,230,0.4090367319164353
0,0.092,230,0.4134460349386014
0,0.092,250,0.42757481881532566
0,0.092,250,0.4068882894991403
0,0.092,250,0.40355149260710105
0,0.092,250,0.4407316391216873
0,0.092,250,0.39820473164789427
0,0.092,270,0.4101493005853162
0,0.092,270,0.4046648935940718
0,0.092,270,0.4038761028884133
0,0.092,270,0.4067205247037402
0,0.092,270,0.3951759252327391
0,0.092,290,0.3984711011013078
0,0.092,290,0.4079980854371733
0,0.092,290,0.4225882594865031
0,0.092,290,0.39788739440650767
0,0.092,290,0.39589806214459317
0,0.092,310,0.40902560777103397
0,0.092,310,0.3994816959647781
0,0.092,310,0.41640666958138844
0,0.092,310,0.4007551818395701
0,0.092,310,0.40272811002319
0,0.092,330,0.40885924110593785
0,0.092,330,0.4396735852088534
0,0.092,330,0.3866512992097141
0,0.092,330,0.4273207400938629
0,0.092,330,0.4331133209163169
0,0.093,150,0.44244328406460387
0,0.093,150,0.4615299812445699
0,0.093,150,0.46724037153306136
0,0.093,150,0.4463976524660175
0,0.093,150,0.45289584892548124
0,0.093,170,0.47253546022636567
0,0.093,170,0.4461997170326429
0,0.093,170,0.4529320240316362
0,0.093,170,0.45230667359557025
0,0.093,170,0.43531286128883295
0,0.093,190,0.4504170423993346
0,0.093,190,0.45425712281200287
0,0.093,190,0.4545446469571678
0,0.093,190,0.4576330176929516
0,0.093,190,0.4663104789786182
0,0.093,210,0.4519055033755233
0,0.093,210,0.44981601560392714
0,0.093,210,0.4771003459455925
0,0.093,210,0.4380379392461194
0,0.093,210,0.4600624886871924
0,0.093,230,0.4789562472096083
0,0.093,230,0.4589292604994997
0,0.093,230,0.4633740080047591
0,0.093,230,0.44757598939502874
0,0.093,230,0.4517578904933644
0,0.093,250,0.4646641405306255
0,0.093,250,0.4453678585192044
0,0.093,250,0.4418319256634995
0,0.093,250,0.4816102486489124
0,0.093,250,0.4347125734895603
0,0.093,270,0.4476727280475744
0,0.093,270,0.4429986081614696
0,0.093,270,0.4408995474134104
0,0.093,270,0.4439409903143816
0,0.093,270,0.43256983714601155
0,0.093,290,0.43515086940675957
0,0.093,290,0.4454141751156262
0,0.093,290,0.46146860750583435
0,0.093,290,0.4346266053219459
0,0.093,290,0.4344037576492658
0,0.093,310,0.4470827704659736
0,0.093,310,0.43859423992913815
0,0.093,310,0.4551083869517375
0,0.093,310,0.43925742153719327
0,0.093,310,0.4405799361274713
0,0.093,330,0.44780723716169807
0,0.093,330,0.4785589784909429
0,0.093,330,0.4252767471423379
0,0.093,330,0.46662035533047436
0,0.093,330,0.4719309637067894
0,0.094,150,0.4878399727962506
0,0.094,150,0.4980963536582734
0,0.094,150,0.4931002965679676
0,0.094,150,0.4965761008526774
0,0.094,150,0.4767932249171331
0,0.094,170,0.49824078705229397
0,0.094,170,0.49066215278460884
0,0.094,170,0.520012142995064
0,0.094,170,0.458830997266934
0,0.094,170,0.5001322726697751
0,0.094,190,0.4686578995907208
0,0.094,190,0.4882373853524385
0,0.094,190,0.48358666613692314
0,0.094,190,0.5049991305185674
0,0.094,190,0.463556837162004
0,0.094,210,0.5025472154497471
0,0.094,210,0.5005608977847006
0,0.094,210,0.49171332710051907
0,0.094,210,0.5021644743650038
0,0.094,210,0.48881976827735596
0,0.094,230,0.5171602527822597
0,0.094,230,0.48283222823179867
0,0.094,230,0.5051480710571742
0,0.094,230,0.5149894815881009
0,0.094,230,0.49384411667304007
0,0.094,250,0.5102795416403894
0,0.094,250,0.4878316229292781
0,0.094,250,0.5146117316601846
0,0.094,250,0.5340773772025306
0,0.094,250,0.4627882832888905
0,0.094,270,0.49496288878231437
0,0.094,270,0.4990672946868169
0,0.094,270,0.5142886632133304
0,0.094,270,0.488725541935498
0,0.094,270,0.5157716887726291
0,0.094,290,0.4827284564842476
0,0.094,290,0.49289345249387495
0,0.094,290,0.5130587919410083
0,0.094,290,0.4618298308048029
0,0.094,290,0.5143066288093932
0,0.094,310,0.48904159504562894
0,0.094,310,0.4861626207270933
0,0.094,310,0.5221402427387849
0,0.094,310,0.4953802450298782
0,0.094,310,0.5238979513590218
0,0.094,330,0.5249861028866573
0,0.094,330,0.5048096954617917
0,0.094,330,0.485938852167168
0,0.094,330,0.48175926588728224
0,0.094,330,0.49004404056373607
0,0.095,150,0.5399447828609895
0,0.095,150,0.534176509727935
0,0.095,150,0.5559546230653462
0,0.095,150,0.5453983032747984
0,0.095,150,0.5645171884752346
0,0.095,170,0.5276673743176223
0,0.095,170,0.551415976457025
0,0.095,170,0.5040182204948239
0,0.095,170,0.523764407372481
0,0.095,170,0.5463229226075178
0,0.095,190,0.5224534084787874
0,0.095,190,0.5098437477531199
0,0.095,190,0.5166689731429864
0,0.095,190,0.5510657760954611
0,0.095,190,0.5369568801608342
0,0.095,210,0.5228105043846532
0,0.095,210,0.5378822490566899
0,0.095,210,0.5223299587859449
0,0.095,210,0.5545013245342406
0,0.095,210,0.5433272937270512
0,0.095,230,0.5839968734225843
0,0.095,230,0.5343242040950634
0,0.095,230,0.5494635319931481
0,0.095,230,0.5595528472580503
0,0.095,230,0.5298857388131111
0,0.095,250,0.5677626585143004
0,0.095,250,0.5550171929232001
0,0.095,250,0.5248103064122154
0,0.095,250,0.5532744957221095
0,0.095,250,0.5679747565030753
0,0.095,270,0.5453264999590924
0,0.095,270,0.5441241002972215
0,0.095,270,0.53864431728635
0,0.095,270,0.5537399709772771
0,0.095,270,0.5787309009851904
0,0.095,290,0.5349589304353499
0,0.095,290,0.5623039384023218
0,0.095,290,0.5747835653266868
