N,gamma,max_corr,mean_corr,mean_low_freq_ac,mean_low_freq_cc, mean_low_freq_power
60,0.0945,0.9111932380237481,0.748785227207357,0.002509591413418696,0.0014139753444223121,0.482034567
120,0.0945,0.8107486574908681,0.6421419092813634,0.0011496901180933622,0.0005184128213334314,0.493435993
180,0.0945,0.7399597600653505,0.5620275344287853,0.0009270275908718178,0.0002503675512586693,0.500386304
240,0.0945,0.7339417876670369,0.5544316729994077,0.0007954988525907395,0.00023973756141316141,0.551628204
300,0.0945,0.6506935200422636,0.4471791978229658,0.0006075887405775085,0.00011737527862057105,0.525850921
360,0.0945,0.6351578443856425,0.42112989911771515,0.0005336660175389132,8.362748904905012e-05,0.534909737
420,0.0945,0.6106695548884788,0.41516382392190443,0.0005072121677793584,7.715124414352787e-05,0.513315423
480,0.0945,0.5472403056101625,0.32183314230259286,0.0004151465788039332,4.2353182114769004e-05,0.552545488
540,0.0945,0.5857872972185874,0.34990905008852813,0.00041113732928843734,4.673603204697179e-05,0.532696918
600,0.0945,0.5684270597471144,0.350782466951525,0.0004160525628997975,4.552481074980634e-05, 0.522454950

